painting_name,shape_reference,generator_prompt,negative_prompt,prompt_package
Gesture as a brush 2026-03-14 09-33-10,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.54 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.54 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-34-27,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.54 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.54 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-35-00,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.36 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.36 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-35-37,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.05 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.05 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-36-06,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 2.00 Hz, layered repeating patterns","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 2.00 Hz, layered repeating patterns

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-36-45,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.08 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.08 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-37-27,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.75 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.75 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-37-56,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.22 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.22 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-38-31,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.67 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.67 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-39-13,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.08 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.08 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-53-54,star,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.50 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.50 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-54-33,star,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, non-periodic gesture, irregular paint distribution","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, non-periodic gesture, irregular paint distribution

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-55-28,star,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.27 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.27 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-55-56,star,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.26 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.26 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-56-25,star,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.09 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.09 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
